sender,receiver,time,cost,sequence
10086,本机,2012/8/1 8:43,0,1
10086,本机,2012/8/1 8:43,0,2
10086,本机,2012/8/1 8:43,0,3
10086,本机,2012/8/1 8:43,0,4
本机,135****0828,2012/8/1 16:44,0.1,5
本机,135****0828,2012/8/1 16:46,0.1,6
本机,135****0828,2012/8/1 16:48,0.1,7
本机,135****0828,2012/8/1 16:50,0.1,8
10086,本机,2012/8/3 9:34,0,9
本机,182****7698,2012/8/3 15:10,0.1,10
本机,188****5564,2012/8/3 15:40,0.1,11
本机,135****0828,2012/8/3 21:28,0.1,12
本机,135****0828,2012/8/3 21:34,0.1,13
本机,135****0828,2012/8/3 22:19,0.1,14
本机,135****0828,2012/8/3 22:24,0.1,15
本机,135****0828,2012/8/3 22:31,0.1,16
本机,135****0828,2012/8/3 22:52,0.1,17
本机,135****0828,2012/8/3 23:31,0.1,18
本机,10086,2012/8/4 2:10,0,19
10086,本机,2012/8/4 2:10,0,20
10086,本机,2012/8/4 2:10,0,21
本机,158****4425,2012/8/5 1:00,0.1,22
本机,183****2608,2012/8/5 12:58,0.1,23
本机,134****5565,2012/8/5 14:11,0.1,24
本机,151****1969,2012/8/5 16:03,0.1,25
本机,151****1969,2012/8/5 16:03,0.1,26
本机,151****1969,2012/8/5 16:18,0.1,27
本机,158****4425,2012/8/5 20:04,0.1,28
本机,138****6739,2012/8/5 20:05,0.1,29
本机,182****7698,2012/8/6 18:19,0.1,30
本机,138****6739,2012/8/6 21:36,0.1,31
本机,187****0443,2012/8/7 23:26,0.1,32
本机,134****6389,2012/8/8 10:13,0.1,33
本机,134****6389,2012/8/8 10:13,0.1,34
本机,134****6389,2012/8/8 10:13,0.1,35
本机,134****6389,2012/8/8 10:13,0.1,36
本机,134****6389,2012/8/8 10:21,0.1,37
本机,134****6389,2012/8/8 10:35,0.1,38
本机,182****7698,2012/8/8 23:38,0.1,39
本机,10086,2012/8/9 13:52,0,40
10086,本机,2012/8/9 13:52,0,41
10086,本机,2012/8/9 13:52,0,42
本机,182****7698,2012/8/9 16:20,0.1,43
本机,182****7698,2012/8/9 16:30,0.1,44
本机,182****7698,2012/8/9 16:48,0.1,45
本机,182****7698,2012/8/9 18:47,0.1,46
本机,188****5564,2012/8/10 15:29,0.1,47
本机,188****5564,2012/8/10 16:13,0.1,48
本机,188****5564,2012/8/10 16:18,0.1,49
本机,158****4425,2012/8/10 21:31,0.1,50
本机,10086,2012/8/10 22:42,0,51
10086,本机,2012/8/10 22:42,0,52
10086,本机,2012/8/10 22:42,0,53
本机,158****4425,2012/8/11 8:30,0.1,54
本机,158****4425,2012/8/11 8:30,0.1,55
本机,138****6739,2012/8/11 8:30,0.1,56
本机,138****6739,2012/8/11 8:30,0.1,57
本机,136****6416,2012/8/11 14:41,0.1,58
本机,136****6416,2012/8/11 14:44,0.1,59
本机,136****6416,2012/8/11 14:47,0.1,60
本机,136****6416,2012/8/11 14:52,0.1,61
本机,136****6416,2012/8/11 14:55,0.1,62
本机,134****5565,2012/8/11 17:13,0.1,63
本机,188****5564,2012/8/11 17:30,0.1,64
本机,188****5564,2012/8/11 18:06,0.1,65
本机,10086,2012/8/12 15:50,0,66
10086,本机,2012/8/12 15:50,0,67
10086,本机,2012/8/12 15:50,0,68
10086,本机,2012/8/12 15:52,0,69
10086,本机,2012/8/12 15:52,0,70
10086,本机,2012/8/13 20:08,0,71
10086,本机,2012/8/13 20:08,0,72
10086,本机,2012/8/13 20:08,0,73
本机,135****9516,2012/8/14 0:29,0.1,74
本机,135****9516,2012/8/14 1:31,0.1,75
本机,135****8904,2012/8/14 20:20,0.1,76
本机,135****9516,2012/8/14 23:45,0.1,77
本机,134****6389,2012/8/16 10:54,0.1,78
本机,134****6389,2012/8/16 11:33,0.1,79
本机,134****6389,2012/8/16 13:27,0.1,80
本机,136****0579,2012/8/16 13:28,0.1,81
本机,158****4425,2012/8/16 13:45,0.1,82
本机,158****4425,2012/8/16 14:51,0.1,83
本机,158****4425,2012/8/16 16:04,0.1,84
本机,158****4425,2012/8/16 16:10,0.1,85
本机,134****5565,2012/8/16 16:52,0.1,86
本机,158****4425,2012/8/16 16:53,0.1,87
本机,158****4425,2012/8/16 17:11,0.1,88
本机,134****5565,2012/8/16 17:12,0.1,89
本机,134****5565,2012/8/16 17:18,0.1,90
本机,158****1812,2012/8/16 18:06,0.1,91
本机,10086,2012/8/16 18:08,0,92
10086,本机,2012/8/16 18:08,0,93
10086,本机,2012/8/16 18:08,0,94
本机,135****0828,2012/8/16 19:32,0.1,95
本机,151****3313,2012/8/16 19:56,0.1,96
本机,151****3313,2012/8/16 20:33,0.1,97
本机,151****3313,2012/8/16 20:36,0.1,98
本机,135****9516,2012/8/16 23:22,0.1,99
本机,135****9516,2012/8/17 0:21,0.1,100
本机,135****9516,2012/8/17 0:40,0.1,101
本机,135****9516,2012/8/17 1:09,0.1,102
10086,本机,2012/8/17 12:03,0,103
10086,本机,2012/8/17 12:03,0,104
10086,本机,2012/8/17 12:03,0,105
本机,10086,2012/8/17 12:03,0,106
10086,本机,2012/8/17 12:04,0,107
10086,本机,2012/8/17 12:04,0,108
10086,本机,2012/8/17 12:04,0,109
10086,本机,2012/8/17 12:04,0,110
本机,10086,2012/8/17 12:04,0,111
10086,本机,2012/8/17 12:05,0,112
10086,本机,2012/8/17 12:05,0,113
10086,本机,2012/8/17 12:05,0,114
本机,10086,2012/8/17 12:05,0,115
本机,10086,2012/8/17 12:05,0,116
10086,本机,2012/8/17 12:05,0,117
本机,10086,2012/8/17 12:06,0,118
10086,本机,2012/8/17 12:06,0,119
本机,10086,2012/8/17 12:06,0,120
10086,本机,2012/8/17 12:06,0,121
本机,10086,2012/8/17 12:07,0,122
10086,本机,2012/8/17 12:07,0,123
本机,10086,2012/8/17 12:07,0,124
10086,本机,2012/8/17 12:07,0,125
10086,本机,2012/8/17 12:07,0,126
本机,10086,2012/8/17 12:07,0,127
10086,本机,2012/8/17 12:07,0,128
10086,本机,2012/8/17 12:07,0,129
10086,本机,2012/8/17 12:07,0,130
10086,本机,2012/8/17 12:07,0,131
本机,10086,2012/8/17 12:09,0,132
10086,本机,2012/8/17 12:09,0,133
10086,本机,2012/8/17 12:09,0,134
10086,本机,2012/8/17 12:09,0,135
10086,本机,2012/8/17 13:03,0,136
10086,本机,2012/8/17 13:03,0,137
本机,158****4425,2012/8/17 13:23,0.1,138
本机,158****4425,2012/8/17 13:53,0.1,139
本机,135****8904,2012/8/17 14:23,0.1,140
本机,135****8904,2012/8/17 14:24,0.1,141
本机,135****8904,2012/8/17 14:26,0.1,142
本机,158****4425,2012/8/17 14:43,0.1,143
本机,158****4425,2012/8/17 14:47,0.1,144
本机,135****8904,2012/8/17 16:28,0.1,145
本机,135****8904,2012/8/17 16:32,0.1,146
本机,158****4425,2012/8/17 18:31,0.1,147
本机,151****3313,2012/8/17 19:12,0.1,148
本机,151****3313,2012/8/17 19:33,0.1,149
本机,151****3313,2012/8/17 19:41,0.1,150
本机,182****7169,2012/8/17 21:03,0.1,151
本机,10086,2012/8/17 21:44,0,152
10086,本机,2012/8/17 21:44,0,153
10086,本机,2012/8/17 21:44,0,154
10086,本机,2012/8/17 21:44,0,155
本机,10086,2012/8/17 21:46,0,156
10086,本机,2012/8/17 21:46,0,157
10086,本机,2012/8/17 21:46,0,158
10086,本机,2012/8/17 21:46,0,159
本机,10086,2012/8/17 21:47,0,160
10086,本机,2012/8/17 21:47,0,161
10086,本机,2012/8/17 21:47,0,162
10086,本机,2012/8/17 21:47,0,163
本机,135****9516,2012/8/17 21:50,0.1,164
本机,135****9516,2012/8/17 23:59,0.1,165
本机,135****9516,2012/8/18 0:02,0.1,166
本机,135****9516,2012/8/18 0:06,0.1,167
本机,135****9516,2012/8/18 13:11,0.1,168
本机,10086,2012/8/18 13:16,0,169
10086,本机,2012/8/18 13:16,0,170
10086,本机,2012/8/18 13:16,0,171
本机,135****9516,2012/8/18 19:04,0.1,172
本机,135****9516,2012/8/18 19:06,0.1,173
本机,151****3313,2012/8/18 19:09,0.1,174
本机,135****9516,2012/8/18 19:10,0.1,175
本机,135****9516,2012/8/18 19:11,0.1,176
本机,135****9516,2012/8/18 19:12,0.1,177
本机,135****9516,2012/8/18 19:17,0.1,178
本机,135****9516,2012/8/18 19:22,0.1,179
本机,135****9516,2012/8/18 23:20,0.1,180
本机,135****9516,2012/8/18 23:23,0.1,181
本机,158****4425,2012/8/18 23:36,0.1,182
本机,135****9516,2012/8/19 1:09,0.1,183
本机,135****9516,2012/8/19 2:17,0.1,184
本机,135****9516,2012/8/19 2:17,0.1,185
本机,135****9516,2012/8/19 2:17,0.1,186
本机,135****9516,2012/8/19 2:21,0.1,187
本机,135****9516,2012/8/19 2:23,0.1,188
本机,135****9516,2012/8/19 2:26,0.1,189
本机,135****9516,2012/8/19 2:28,0.1,190
本机,134****5565,2012/8/19 2:37,0.1,191
本机,158****4425,2012/8/19 7:57,0.1,192
10086,本机,2012/8/19 8:07,0,193
10086,本机,2012/8/19 8:07,0,194
10086,本机,2012/8/19 8:18,0,195
10086,本机,2012/8/19 8:18,0,196
本机,136****9712,2012/8/19 8:19,0.1,197
本机,135****9516,2012/8/19 11:22,0.1,198
本机,135****9516,2012/8/19 12:40,0.1,199
本机,135****9516,2012/8/19 13:04,0.1,200
本机,134****5565,2012/8/19 13:14,0.1,201
本机,134****5565,2012/8/19 13:48,0.1,202
本机,134****5565,2012/8/19 13:51,0.1,203
本机,134****5565,2012/8/19 13:53,0.1,204
本机,134****5565,2012/8/19 13:56,0.1,205
本机,134****5565,2012/8/19 14:07,0.1,206
本机,134****5565,2012/8/19 14:11,0.1,207
本机,135****9516,2012/8/19 17:07,0.1,208
本机,135****9516,2012/8/19 17:11,0.1,209
本机,135****9516,2012/8/19 17:16,0.1,210
本机,135****9516,2012/8/19 17:19,0.1,211
本机,136****5215,2012/8/19 17:58,0.1,212
本机,135****9516,2012/8/19 20:21,0.1,213
10086,本机,2012/8/19 22:03,0,214
10086,本机,2012/8/19 22:03,0,215
本机,158****4425,2012/8/20 9:25,0.1,216
本机,158****4425,2012/8/20 9:35,0.1,217
本机,158****4425,2012/8/20 9:39,0.1,218
本机,158****4425,2012/8/20 10:05,0.1,219
10086,本机,2012/8/20 13:04,0,220
10086,本机,2012/8/20 13:04,0,221
本机,10086,2012/8/20 13:10,0,222
10086,本机,2012/8/20 13:10,0,223
10086,本机,2012/8/20 13:10,0,224
本机,151****3313,2012/8/20 13:43,0.1,225
本机,151****3313,2012/8/20 13:47,0.1,226
本机,151****3313,2012/8/20 14:15,0.1,227
本机,151****3313,2012/8/20 14:19,0.1,228
本机,135****9516,2012/8/20 15:06,0.1,229
本机,135****9516,2012/8/20 15:11,0.1,230
本机,135****9516,2012/8/20 15:19,0.1,231
本机,135****9516,2012/8/20 15:22,0.1,232
本机,135****9516,2012/8/20 15:28,0.1,233
10086,本机,2012/8/20 15:51,0,234
本机,10086,2012/8/20 15:51,0,235
本机,10086,2012/8/20 15:52,0,236
10086,本机,2012/8/20 15:52,0,237
10086,本机,2012/8/20 15:52,0,238
10086,本机,2012/8/20 15:52,0,239
10086,本机,2012/8/20 15:52,0,240
本机,10086,2012/8/20 15:52,0,241
10086,本机,2012/8/20 15:52,0,242
10086,本机,2012/8/20 15:52,0,243
本机,151****3313,2012/8/20 15:53,0.1,244
本机,151****3313,2012/8/20 16:04,0.1,245
本机,151****3313,2012/8/20 16:10,0.1,246
本机,135****8711,2012/8/20 18:02,0.1,247
本机,135****8711,2012/8/20 18:04,0.1,248
本机,139****0500,2012/8/20 18:06,0.1,249
本机,139****0500,2012/8/20 18:07,0.1,250
本机,135****8711,2012/8/20 18:13,0.1,251
本机,136****9712,2012/8/20 18:17,0.1,252
本机,158****4425,2012/8/20 18:17,0.1,253
本机,136****5215,2012/8/20 18:17,0.1,254
本机,138****6739,2012/8/20 18:18,0.1,255
本机,135****8711,2012/8/20 18:18,0.1,256
本机,135****8711,2012/8/20 18:20,0.1,257
本机,10086,2012/8/20 20:58,0,258
10086,本机,2012/8/20 20:58,0,259
10086,本机,2012/8/20 20:58,0,260
本机,136****5215,2012/8/21 0:03,0.1,261
本机,10086,2012/8/21 10:20,0,262
10086,本机,2012/8/21 10:20,0,263
10086,本机,2012/8/21 10:20,0,264
本机,134****6389,2012/8/21 10:22,0.1,265
本机,134****6389,2012/8/21 10:24,0.1,266
10086,本机,2012/8/21 12:12,0,267
本机,183****2608,2012/8/21 18:21,0.1,268
本机,183****2608,2012/8/21 18:24,0.1,269
本机,137****3004,2012/8/21 19:22,0.1,270
本机,137****3004,2012/8/21 19:24,0.1,271
本机,135****9516,2012/8/21 22:47,0.1,272
本机,151****3313,2012/8/22 0:14,0.1,273
本机,135****9516,2012/8/22 0:29,0.1,274
本机,135****9516,2012/8/22 0:35,0.1,275
本机,136****5215,2012/8/22 7:03,0.1,276
本机,158****4425,2012/8/22 7:08,0.1,277
本机,136****5215,2012/8/22 7:17,0.1,278
本机,151****3313,2012/8/22 7:54,0.1,279
本机,151****3313,2012/8/22 7:54,0.1,280
本机,151****3313,2012/8/22 7:54,0.1,281
本机,151****3313,2012/8/22 7:56,0.1,282
本机,151****3313,2012/8/22 7:57,0.1,283
本机,158****4425,2012/8/22 7:58,0.1,284
本机,151****3313,2012/8/22 8:08,0.1,285
本机,151****3313,2012/8/22 8:27,0.1,286
本机,151****3313,2012/8/22 8:30,0.1,287
本机,135****9516,2012/8/22 8:52,0.1,288
本机,135****9516,2012/8/22 9:02,0.1,289
本机,135****9516,2012/8/22 17:54,0.1,290
本机,135****9516,2012/8/22 17:54,0.1,291
本机,135****9516,2012/8/22 17:57,0.1,292
本机,135****9516,2012/8/22 17:58,0.1,293
本机,135****9516,2012/8/22 20:34,0.1,294
本机,135****9516,2012/8/22 20:37,0.1,295
本机,135****9516,2012/8/22 20:44,0.1,296
本机,135****9516,2012/8/22 23:34,0.1,297
本机,135****9516,2012/8/22 23:34,0.1,298
本机,135****0828,2012/8/23 11:19,0.1,299
本机,139****0500,2012/8/23 13:56,0.1,300
本机,151****3313,2012/8/23 14:06,0.1,301
本机,151****3313,2012/8/23 14:11,0.1,302
本机,151****3313,2012/8/23 14:17,0.1,303
本机,151****3313,2012/8/23 14:22,0.1,304
10086,本机,2012/8/23 14:23,0,305
10086,本机,2012/8/23 14:23,0,306
本机,151****3313,2012/8/23 14:24,0.1,307
本机,135****9516,2012/8/23 14:26,0.1,308
本机,135****9516,2012/8/23 14:29,0.1,309
本机,135****9516,2012/8/23 14:39,0.1,310
10086,本机,2012/8/23 22:49,0,311
10086,本机,2012/8/23 22:49,0,312
10086,本机,2012/8/23 22:59,0,313
10086,本机,2012/8/23 22:59,0,314
10086,本机,2012/8/23 23:12,0,315
10086,本机,2012/8/23 23:12,0,316
本机,135****9516,2012/8/23 23:14,0.1,317
本机,135****9516,2012/8/23 23:16,0.1,318
本机,10086,2012/8/24 14:44,0,319
10086,本机,2012/8/24 14:44,0,320
10086,本机,2012/8/24 14:44,0,321
本机,135****0828,2012/8/24 15:05,0.1,322
10086,本机,2012/8/24 15:16,0,323
10086,本机,2012/8/24 15:16,0,324
本机,135****0828,2012/8/24 15:17,0.1,325
本机,136****9712,2012/8/24 15:21,0.1,326
本机,136****9712,2012/8/24 15:24,0.1,327
本机,136****9712,2012/8/24 15:28,0.1,328
本机,136****9712,2012/8/24 15:31,0.1,329
本机,136****9712,2012/8/24 18:18,0.1,330
本机,136****9712,2012/8/24 18:28,0.1,331
本机,136****9712,2012/8/24 18:46,0.1,332
本机,136****9712,2012/8/24 18:49,0.1,333
本机,136****9712,2012/8/24 18:52,0.1,334
本机,136****9712,2012/8/24 19:08,0.1,335
10086,本机,2012/8/25 1:45,0,336
10086,本机,2012/8/25 1:45,0,337
10086,本机,2012/8/25 1:45,0,338
本机,10086,2012/8/25 9:44,0,339
10086,本机,2012/8/25 9:44,0,340
10086,本机,2012/8/25 9:44,0,341
本机,10086,2012/8/25 9:44,0,342
本机,10086,2012/8/25 9:44,0,343
10086,本机,2012/8/25 9:44,0,344
10086,本机,2012/8/25 9:44,0,345
本机,139****0500,2012/8/25 10:16,0.1,346
10086,本机,2012/8/25 10:40,0,347
10086,本机,2012/8/25 10:40,0,348
本机,135****0828,2012/8/25 11:23,0.1,349
本机,135****0828,2012/8/25 11:38,0.1,350
本机,139****0500,2012/8/25 15:35,0.1,351
本机,139****0500,2012/8/25 15:35,0.1,352
本机,139****0500,2012/8/25 15:37,0.1,353
本机,151****6114,2012/8/25 16:33,0.1,354
本机,151****6114,2012/8/25 16:37,0.1,355
本机,135****0828,2012/8/25 18:03,0.1,356
本机,10086,2012/8/25 18:03,0,357
10086,本机,2012/8/25 18:03,0,358
10086,本机,2012/8/25 18:03,0,359
本机,10086,2012/8/25 18:08,0,360
10086,本机,2012/8/25 18:08,0,361
10086,本机,2012/8/25 18:08,0,362
本机,135****0828,2012/8/25 18:37,0.1,363
10086,本机,2012/8/25 19:07,0,364
10086,本机,2012/8/25 19:07,0,365
10086,本机,2012/8/25 19:07,0,366
本机,10086,2012/8/25 19:13,0,367
10086,本机,2012/8/25 19:13,0,368
10086,本机,2012/8/25 19:13,0,369
本机,10086,2012/8/25 22:46,0,370
10086,本机,2012/8/25 22:46,0,371
10086,本机,2012/8/25 22:46,0,372
本机,10086,2012/8/26 1:21,0,373
10086,本机,2012/8/26 1:21,0,374
10086,本机,2012/8/26 1:21,0,375
10086,本机,2012/8/26 7:03,0,376
10086,本机,2012/8/26 7:03,0,377
本机,10086,2012/8/26 11:01,0,378
10086,本机,2012/8/26 11:01,0,379
10086,本机,2012/8/26 11:01,0,380
本机,158****4425,2012/8/26 11:10,0.1,381
本机,151****3313,2012/8/26 13:47,0.1,382
10086,本机,2012/8/26 16:34,0,383
10086,本机,2012/8/26 16:34,0,384
10086,本机,2012/8/26 19:25,0,385
10086,本机,2012/8/26 19:25,0,386
10086,本机,2012/8/26 19:55,0,387
10086,本机,2012/8/26 19:55,0,388
10086,本机,2012/8/27 8:19,0,389
10086,本机,2012/8/27 8:19,0,390
本机,139****0500,2012/8/27 14:58,0.1,391
本机,135****9516,2012/8/27 16:16,0.1,392
本机,135****9516,2012/8/27 16:18,0.1,393
本机,182****7624,2012/8/27 18:51,0.1,394
本机,10086,2012/8/27 23:41,0,395
10086,本机,2012/8/27 23:41,0,396
10086,本机,2012/8/27 23:41,0,397
10086,本机,2012/8/28 9:05,0,398
10086,本机,2012/8/28 9:05,0,399
本机,182****7624,2012/8/28 15:38,0.1,400
10086,本机,2012/8/28 17:03,0,401
10086,本机,2012/8/28 17:03,0,402
10086,本机,2012/8/28 17:03,0,403
本机,10086,2012/8/28 17:13,0,404
10086,本机,2012/8/28 17:13,0,405
10086,本机,2012/8/28 17:13,0,406
本机,10086,2012/8/28 17:34,0,407
10086,本机,2012/8/28 17:34,0,408
本机,10086,2012/8/28 17:34,0,409
10086,本机,2012/8/28 17:34,0,410
10086,本机,2012/8/28 17:34,0,411
10086,本机,2012/8/28 17:34,0,412
10086,本机,2012/8/28 21:31,0,413
10086,本机,2012/8/28 21:31,0,414
本机,10086,2012/8/28 21:39,0,415
10086,本机,2012/8/28 21:39,0,416
10086,本机,2012/8/28 21:39,0,417
本机,10086,2012/8/28 23:13,0,418
10086,本机,2012/8/28 23:13,0,419
10086,本机,2012/8/28 23:13,0,420
本机,136****5215,2012/8/29 9:47,0.1,421
本机,136****5215,2012/8/29 11:56,0.1,422
本机,136****5215,2012/8/29 12:02,0.1,423
本机,135****9516,2012/8/29 19:09,0.1,424
本机,134****6184,2012/8/30 0:11,0.1,425
本机,139****0500,2012/8/30 9:16,0.1,426
10086,本机,2012/8/30 9:28,0,427
10086,本机,2012/8/30 9:28,0,428
本机,139****0500,2012/8/30 11:09,0.1,429
本机,139****0500,2012/8/30 11:09,0.1,430
本机,139****0500,2012/8/30 11:10,0.1,431
本机,182****7624,2012/8/30 13:54,0.1,432
本机,182****7624,2012/8/30 13:55,0.1,433
10086,本机,2012/8/30 17:33,0,434
10086,本机,2012/8/30 17:37,0,435
10086,本机,2012/8/30 17:37,0,436
本机,138****6739,2012/8/30 18:00,0.1,437
本机,187****6787,2012/8/30 18:31,0.1,438
本机,134****5565,2012/8/31 0:57,0.1,439
本机,187****6787,2012/8/31 0:58,0.1,440
本机,134****5565,2012/8/31 1:17,0.1,441
本机,134****5565,2012/8/31 1:23,0.1,442
本机,134****5565,2012/8/31 1:27,0.1,443
本机,134****5565,2012/8/31 1:29,0.1,444
本机,134****5565,2012/8/31 1:32,0.1,445
本机,134****5565,2012/8/31 1:34,0.1,446
10086,本机,2012/8/31 8:15,0,447
10086,本机,2012/8/31 8:15,0,448
10086,本机,2012/8/31 11:42,0,449
10086,本机,2012/8/31 11:42,0,450
10086,本机,2012/8/31 12:01,0,451
10086,本机,2012/8/31 12:01,0,452
10086,本机,2012/8/31 12:01,0,453
10086,本机,2012/8/31 12:01,0,454
本机,10086,2012/8/31 15:12,0,455
10086,本机,2012/8/31 15:12,0,456
10086,本机,2012/8/31 15:12,0,457
10086,本机,2012/8/31 15:21,0,458
10086,本机,2012/8/31 15:21,0,459
本机,10086,2012/8/31 15:21,0,460
10086,本机,2012/8/31 15:22,0,461
本机,134****6184,2012/8/31 17:33,0.1,462
本机,134****6184,2012/8/31 17:36,0.1,463
本机,135****0828,2012/8/31 17:37,0.1,464
本机,135****0828,2012/8/31 17:38,0.1,465
本机,135****0828,2012/8/31 17:39,0.1,466
10086,本机,2012/8/31 18:48,0,467
10086,本机,2012/8/31 18:48,0,468
10086,本机,2012/8/31 18:48,0,469
本机,135****8904,2012/8/31 19:17,0.1,470
本机,187****6787,2012/8/31 19:31,0.1,471
本机,135****8904,2012/8/31 21:31,0.1,472
本机,135****9516,2012/8/31 21:38,0.1,473
本机,135****2175,2012/8/31 23:38,0.1,474
本机,180****6171,2012/8/1 14:10,0.1,475
本机,180****6171,2012/8/1 16:36,0.1,476
130****6197,本机,2012/8/3 8:45,0,477
本机,130****6197,2012/8/3 15:40,0.1,478
186****8982,本机,2012/8/3 20:31,0,479
本机,186****8982,2012/8/3 21:17,0.1,480
186****8982,本机,2012/8/3 21:34,0,481
189****0205,本机,2012/8/5 14:46,0,482
本机,189****0205,2012/8/5 14:49,0.1,483
189****0205,本机,2012/8/5 14:50,0,484
本机,130****5685,2012/8/8 23:38,0.1,485
本机,180****6171,2012/8/11 12:43,0.1,486
本机,180****6171,2012/8/11 12:43,0.1,487
本机,180****6171,2012/8/11 13:06,0.1,488
本机,180****6171,2012/8/11 19:33,0.1,489
本机,130****5685,2012/8/13 22:44,0.1,490
本机,130****5685,2012/8/14 1:32,0.1,491
本机,130****1668,2012/8/17 21:36,0.1,492
本机,130****5685,2012/8/18 14:59,0.1,493
本机,130****5685,2012/8/18 15:04,0.1,494
本机,130****5685,2012/8/18 15:41,0.1,495
本机,132****2796,2012/8/20 13:26,0.1,496
本机,132****2796,2012/8/20 13:29,0.1,497
本机,132****2796,2012/8/20 13:35,0.1,498
本机,186****3451,2012/8/20 15:00,0.1,499
本机,186****3451,2012/8/20 15:03,0.1,500
本机,186****3451,2012/8/20 15:06,0.1,501
本机,186****3451,2012/8/20 15:09,0.1,502
130****6197,本机,2012/8/20 17:51,0,503
本机,130****0617,2012/8/20 19:28,0.1,504
本机,130****0617,2012/8/20 19:39,0.1,505
本机,132****2796,2012/8/21 19:18,0.1,506
本机,130****0617,2012/8/21 20:46,0.1,507
本机,130****0617,2012/8/21 20:48,0.1,508
本机,130****0617,2012/8/21 20:51,0.1,509
本机,130****0617,2012/8/22 7:07,0.1,510
本机,180****6171,2012/8/23 14:15,0.1,511
本机,186****5643,2012/8/24 15:41,0.1,512
本机,186****5643,2012/8/24 16:00,0.1,513
本机,186****5643,2012/8/24 16:02,0.1,514
本机,186****5643,2012/8/24 16:05,0.1,515
本机,186****5643,2012/8/24 16:08,0.1,516
本机,186****5643,2012/8/24 16:16,0.1,517
